rProduct_code,rProduct_listName,rClass_Price,rClass_Price_GDDesc,rUnit_code,rUnit_listName,sEffective_date_p,rGross_price,rProd_dis1,rProd_dis2,rProd_dis3,rPromotion_flag,sReversal_date,rPromotion_dis,rBonus_discount,rBonus_flag,rNet_price_dis,rFree_stock,rFree_stock_unit,rFor_order,rNet_price_free,rMin_order,rMax_order,rPacking_size,rPackaging_descript,rCurrency
23000125,เนื้อไหล่,BKK1W1,,6,ก.ก.,19/05/2565,169,,,,,,,,B,169,,,,,1,99999,1,10กก./ถุง,
23000126,เนื้อไหล่แต่ง,BKK1W1,,6,ก.ก.,19/05/2565,172,,,,,,,,B,172,,,,,1,99999,1,เนื้อไหล่แต่ง,
23000130,สะโพกติดหนัง,BKK1W1,,6,ก.ก.,19/05/2565,170,,,,,,,,B,170,,,,,1,99999,1,สะโพกติดหนัง,
23000134,สันนอก,BKK1W1,,6,ก.ก.,19/05/2565,177,,,,,,,,B,177,,,,,1,99999,1,5กก/ถุง ,
23000141,สันใน,BKK1W1,,6,ก.ก.,26/05/2565,183,,,,,,,,B,183,,,,,1,99999,1,10กก/ถุง,
23000142,สันในแต่ง,BKK1W1,,6,ก.ก.,26/05/2565,185,,,,,,,,B,185,,,,,1,99999,1,สันในแต่ง,
23000143,สันคอ,BKK1W1,,6,ก.ก.,19/05/2565,220,,,,,,,,B,220,,,,,1,99999,1,10กก/ถุง,
23000146,สามชั้นลอกหนัง 1 กก.,BKK1W1,,6,ก.ก.,19/05/2565,215,,,,,,,,B,215,,,,,1,99999,1,8กก./ถุง,
23000148,หมูสามชั้น,BKK1W1,,6,ก.ก.,19/05/2565,197,,,,,,,,B,197,,,,,1,99999,1,10กก/ถุง.,
23000150,ซี่โครงแผ่น,BKK1W1,,6,ก.ก.,26/05/2565,164,,,,,,,,B,164,,,,,1,99999,1,6 กก./ถุง,
23000151,ซี่โครงอ่อน,BKK1W1,,6,ก.ก.,26/05/2565,201,,,,,,,,B,201,,,,,1,99999,1,ซี่โครงอ่อน,
23000156,หมูซีก(ตาย),BKK1W1,,6,ก.ก.,24/05/2565,67,,,,,,,,B,67,,,,,1,99999,1,หมูซีก(ตาย),
23000156,หมูซีก(ตาย),BKK1W1,,16,ตัว,24/05/2565,7035,,,,,,,,B,7035,,,,,1,99999,1,หมูซีก(ตาย),
23000158,ชิ้นเนื้อหมูดี,BKK1W1,,6,ก.ก.,23/05/2565,166,,,,,,,,B,166,,,,,1,99999,1,ชิ้นเนื้อหมูดี,
23000159,เศษเนื้อติดมัน,BKK1W1,,6,ก.ก.,23/05/2565,136,,,,,,,,B,136,,,,,1,99999,1,เศษเนื้อติดมัน,
23000160,หางหมูสด,BKK1W1,,6,ก.ก.,7/4/2565,53,,,,,,,,B,53,,,,,1,99999,1,,
23000165,คากิ (ข้อสอง),BKK1W1,,6,ก.ก.,26/05/2565,54,,,,,,,,B,54,,,,,1,99999,1,1 ก.ก./ซอง,
23000167,กระดูกขาเลาะ,BKK1W1,,6,ก.ก.,1/4/2565,1,,,,,,,,B,1,,,,,1,99999,1,กระดูกขาเลาะ,
23000168,เนื้อขาเลาะ,BKK1W1,,6,ก.ก.,26/05/2565,232,,,,,,,,B,232,,,,,1,99999,1,,
23000169,คอหมู(ย่าง),BKK1W1,,6,ก.ก.,26/05/2565,280,,,,,,,,B,280,,,,,1,99999,1,5กก./ถุง,
23000171,หัวเต็ม,BKK1W1,,6,ก.ก.,19/05/2565,86,,,,,,,,B,86,,,,,1,99999,1,,
